1,A,0.0
1,B,0.0
1,C,0.0
1,D,0.0
1,E,0.0
1,F,0.0
1,G,0.0
1,H,0.0
1,I,0.0
1,J,0.0
1,K,0.0
1,L,0.0
1,M,0.0
1,N,0.0
1,O,0.0
1,P,0.0
1,Q,0.0
1,R,0.0
1,S,0.0
1,T,0.0
2,A,0.0
2,B,0.0
2,C,0.0
2,D,0.0
2,E,0.0
2,F,0.0
2,G,0.0
2,H,0.0
2,I,0.0
2,J,0.0
2,K,0.0
2,L,0.0
2,M,0.0
2,N,0.0
2,O,0.0
2,P,0.0
2,Q,0.0
2,R,0.0
2,S,0.0
2,T,0.0
3,A,0.0
3,B,0.0
3,C,0.0
3,D,0.0
3,E,0.0
3,F,0.0
3,G,0.0
3,H,0.0
3,I,0.0
3,J,0.0
3,K,0.0
3,L,0.0
3,M,0.0
3,N,0.0
3,O,0.0
3,P,0.0
3,Q,0.0
3,R,0.0
3,S,0.0
3,T,0.0
4,A,0.0
4,B,0.0
4,C,0.0
4,D,0.0
4,E,0.0
4,F,0.0
4,G,0.0
4,H,0.0
4,I,0.0
4,J,0.0
4,K,0.0
4,L,0.0
4,M,0.0
4,N,0.0
4,O,0.0
4,P,0.0
4,Q,0.0
4,R,0.0
4,S,0.0
4,T,0.0
5,A,0.0
5,B,0.0
5,C,0.0
5,D,0.0
5,E,0.0
5,F,0.0
5,G,0.0
5,H,0.0
5,I,0.0
5,J,0.0
5,K,0.0
5,L,0.0
5,M,0.0
5,N,0.0
5,O,0.0
5,P,0.0
5,Q,0.0
5,R,0.0
5,S,0.0
5,T,0.0
6,A,0.0
6,B,0.0
6,C,0.0
6,D,0.0
6,E,0.0
6,F,0.0
6,G,0.0
6,H,0.0
6,I,0.0
6,J,0.0
6,K,0.0
6,L,0.0
6,M,0.0
6,N,0.0
6,O,0.0
6,P,0.0
6,Q,0.0
6,R,0.0
6,S,0.0
6,T,0.0
7,A,0.0
7,B,0.0
7,C,0.0
7,D,0.0
7,E,0.0
7,F,0.0
7,G,0.0
7,H,0.0
7,I,0.0
7,J,0.0
7,K,0.0
7,L,0.0
7,M,0.0
7,N,0.0
7,O,0.0
7,P,0.0
7,Q,0.0
7,R,0.0
7,S,0.0
7,T,0.0
